Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
Australia,2015.9463090316813,Malware,IT,260.0,302.0,Hacker Group,Unknown,VPN,389.0
India,2019.8447405752568,Ransomware,Education,287.0,318.0,Unknown,Unpatched Software,Firewall,362.0
China,2024.1134547607944,SQL Injection,,515.0,506.0,Unknown,Social Engineering,Antivirus,402.0
Unknown,2016.9145985143168,Malware,Retail,328.0,309.0,Unknown,Weak Passwords,Encryption,498.0
Japan,2023.0237173852663,Malware,IT,411.0,369.0,Unknown,Weak Passwords,Encryption,455.0
Japan,2016.7979276872256,Ransomware,Retail,140.0,208.0,Unknown,Unknown,AI-based Detection,286.0
Australia,2017.2760247878457,Malware,Banking,287.0,346.0,Unknown,Weak Passwords,AI-based Detection,342.0
China,2015.909955136012,Ransomware,Government,287.0,314.0,Unknown,Zero-day,Firewall,342.0
Japan,2017.958829653456,Man-in-the-Middle,Education,294.0,320.0,Insider,Zero-day,Unknown,382.0
Germany,2024.071546121188,Man-in-the-Middle,IT,489.0,479.0,Unknown,Weak Passwords,VPN,390.0
Unknown,2018.10090079196,Phishing,Education,283.0,306.0,Unknown,Weak Passwords,Firewall,385.0
Australia,2024.0020917048373,DDoS,Retail,345.0,397.0,Unknown,Weak Passwords,Unknown,247.0
USA,2019.045791261013,Man-in-the-Middle,Government,193.0,286.0,Insider,Social Engineering,AI-based Detection,224.0
UK,2018.214298925712,Malware,Education,313.0,343.0,Nation-state,Weak Passwords,AI-based Detection,378.0
Germany,2018.1039119039965,DDoS,Banking,287.0,169.0,Insider,Zero-day,AI-based Detection,
China,2020.039921945509,SQL Injection,Telecommunications,365.0,392.0,Nation-state,Unpatched Software,VPN,378.0
France,2023.835212466449,Phishing,Government,323.0,378.0,Hacker Group,Unpatched Software,Encryption,244.0
UK,2016.96407920211,Unknown,Telecommunications,225.0,262.0,Hacker Group,Weak Passwords,Encryption,360.0
France,2015.9213016900628,Ransomware,Banking,209.0,322.0,Nation-state,Zero-day,Firewall,279.0
Australia,2022.0027679276304,SQL Injection,Telecommunications,352.0,348.0,Insider,Weak Passwords,VPN,366.0
Russia,2020.173340185317,DDoS,Government,316.0,364.0,Insider,Weak Passwords,Firewall,321.0
UK,2017.973020700628,Malware,Healthcare,253.0,329.0,Insider,Weak Passwords,Firewall,296.0
Russia,2019.9315275055296,SQL Injection,Telecommunications,295.0,310.0,Unknown,Weak Passwords,Firewall,359.0
China,2022.8376971870605,Malware,Education,382.0,412.0,Insider,Unpatched Software,Antivirus,345.0
China,2019.0453940297043,SQL Injection,Government,242.0,259.0,Hacker Group,Zero-day,Encryption,359.0
India,2014.686581030136,Ransomware,Education,272.0,271.0,Hacker Group,Weak Passwords,Antivirus,497.0
Brazil,2014.847178512156,Man-in-the-Middle,Banking,200.0,211.0,Unknown,Unpatched Software,Encryption,425.0
India,2016.720883249733,DDoS,Banking,177.0,234.0,Hacker Group,Weak Passwords,AI-based Detection,330.0
India,2021.140249746676,Malware,Telecommunications,362.0,380.0,Nation-state,Zero-day,AI-based Detection,370.0
Brazil,2019.988726733316,SQL Injection,Banking,402.0,380.0,Unknown,Zero-day,AI-based Detection,468.0
India,2020.7711644935712,DDoS,Education,215.0,296.0,Nation-state,Zero-day,AI-based Detection,214.0
UK,2023.125935844444,Man-in-the-Middle,Banking,387.0,368.0,Insider,Social Engineering,VPN,392.0
UK,2021.0257293267373,DDoS,IT,372.0,389.0,Insider,Social Engineering,,360.0
Japan,,Ransomware,IT,287.0,318.0,Insider,Weak Passwords,VPN,297.0
Russia,2021.1350507160755,Phishing,Banking,198.0,257.0,Unknown,Social Engineering,VPN,227.0
Germany,2017.9654398097605,Ransomware,IT,278.0,315.0,Unknown,Weak Passwords,VPN,372.0
Japan,2019.8447405752568,SQL Injection,Banking,287.0,318.0,Unknown,Weak Passwords,VPN,395.0
India,2019.7478758602315,Malware,Healthcare,267.0,303.0,Insider,Unpatched Software,VPN,318.0
India,2017.9834681227985,Unknown,Telecommunications,234.0,236.0,Unknown,Unpatched Software,Antivirus,411.0
Australia,2021.0339947036664,Man-in-the-Middle,Healthcare,385.0,382.0,Unknown,Weak Passwords,Unknown,416.0
USA,2019.9956331597475,Ransomware,Education,328.0,341.0,Insider,Weak Passwords,Encryption,382.0
Germany,2020.9145045499024,Phishing,Banking,248.0,278.0,Nation-state,Social Engineering,Encryption,311.0
China,2020.0183794154711,SQL Injection,Unknown,330.0,335.0,Unknown,Zero-day,Antivirus,401.0
India,2022.8301172506533,DDoS,Healthcare,416.0,416.0,Hacker Group,Unpatched Software,AI-based Detection,375.0
India,2018.288493032383,DDoS,Education,99.0,216.0,Insider,Unpatched Software,VPN,156.0
USA,2014.9564096901047,Man-in-the-Middle,Retail,105.0,188.0,Nation-state,Zero-day,Firewall,284.0
France,2020.9699228168745,SQL Injection,Government,373.0,370.0,Unknown,Unpatched Software,Encryption,410.0
UK,2021.9157255415887,Malware,Telecommunications,422.0,395.0,Nation-state,Social Engineering,Firewall,444.0
Australia,2019.025401677072,Man-in-the-Middle,Retail,326.0,350.0,Hacker Group,Social Engineering,Firewall,378.0
UK,2022.29982534011,Man-in-the-Middle,IT,319.0,350.0,Nation-state,Zero-day,Unknown,302.0
,2016.0900953076025,Ransomware,Banking,202.0,216.0,Insider,Unknown,Firewall,408.0
Russia,2019.94951193083,Ransomware,Banking,362.0,336.0,Insider,Social Engineering,VPN,449.0
Russia,2014.907755816656,Ransomware,IT,281.0,278.0,Insider,Zero-day,Encryption,505.0
Brazil,2021.9367741063752,Man-in-the-Middle,Healthcare,452.0,433.0,Unknown,Zero-day,AI-based Detection,454.0
Japan,2023.00919111066,SQL Injection,Government,484.0,454.0,Unknown,Zero-day,VPN,440.0
Brazil,2015.1611579422383,Phishing,Healthcare,209.0,256.0,Insider,Social Engineering,Firewall,389.0
Brazil,,DDoS,Telecommunications,,318.0,Hacker Group,Social Engineering,Firewall,251.0
Germany,2021.792399875002,DDoS,Retail,188.0,249.0,Nation-state,Unpatched Software,AI-based Detection,201.0
China,2015.2528933789897,Phishing,Banking,208.0,250.0,Nation-state,Zero-day,Antivirus,373.0
Russia,2023.9863048014345,Phishing,Telecommunications,373.0,370.0,Hacker Group,Weak Passwords,VPN,340.0
France,2022.143153941112,Malware,Education,337.0,390.0,Insider,Social Engineering,Encryption,274.0
Brazil,2017.3523966157964,Phishing,Retail,289.0,324.0,Unknown,Social Engineering,VPN,380.0
USA,2022.9496969538548,DDoS,IT,287.0,336.0,Insider,Social Engineering,Firewall,
China,2017.046379168678,Man-in-the-Middle,Banking,230.0,244.0,Unknown,Social Engineering,VPN,399.0
China,2019.7760184965475,Malware,Government,235.0,265.0,Insider,Zero-day,AI-based Detection,334.0
Germany,2014.9789654366364,Man-in-the-Middle,Education,252.0,249.0,Nation-state,Weak Passwords,Encryption,477.0
Germany,2022.2821095532083,Man-in-the-Middle,Telecommunications,374.0,392.0,Nation-state,Zero-day,AI-based Detection,362.0
Japan,2023.2853939124711,Man-in-the-Middle,Banking,330.0,323.0,Nation-state,Unknown,VPN,357.0
China,2023.895949369984,SQL Injection,Banking,287.0,435.0,Unknown,Zero-day,VPN,
UK,2018.216663910881,Malware,Healthcare,214.0,274.0,Hacker Group,Social Engineering,Firewall,314.0
China,2022.995769478868,Man-in-the-Middle,IT,412.0,431.0,Insider,Unpatched Software,Encryption,352.0
Australia,2015.7618012927217,Man-in-the-Middle,IT,212.0,276.0,Unknown,Unpatched Software,Encryption,338.0
India,2022.0352228529723,SQL Injection,Education,425.0,430.0,Unknown,Weak Passwords,Antivirus,399.0
UK,,DDoS,Telecommunications,287.0,318.0,Hacker Group,Social Engineering,VPN,379.0
France,2016.9038916363843,Malware,Banking,,318.0,Nation-state,Zero-day,AI-based Detection,342.0
Brazil,2017.095636332272,DDoS,Telecommunications,264.0,298.0,Hacker Group,Unpatched Software,Firewall,387.0
France,2016.1476335806765,Phishing,IT,57.0,147.0,Hacker Group,Weak Passwords,Encryption,227.0
India,2022.806977783266,Ransomware,Healthcare,344.0,368.0,Nation-state,Zero-day,VPN,314.0
India,2016.082355812248,Man-in-the-Middle,Banking,353.0,355.0,Unknown,Weak Passwords,AI-based Detection,500.0
France,2023.8278119510103,SQL Injection,Telecommunications,342.0,397.0,Hacker Group,Unpatched Software,Encryption,249.0
France,2017.058482788212,Ransomware,Retail,327.0,313.0,Unknown,Weak Passwords,Encryption,481.0
Japan,2015.9465411627468,Ransomware,Healthcare,108.0,194.0,Nation-state,Social Engineering,Firewall,266.0
Russia,2021.86006519318,DDoS,Education,311.0,333.0,Nation-state,Unpatched Software,Antivirus,323.0
China,2021.024826677973,SQL Injection,Government,252.0,290.0,Insider,Zero-day,Firewall,296.0
Japan,2021.9191186457613,DDoS,IT,280.0,293.0,Insider,Weak Passwords,Firewall,299.0
Germany,2023.7242484044727,Ransomware,Government,361.0,385.0,Unknown,Weak Passwords,VPN,295.0
Germany,2015.0872283251224,Phishing,Telecommunications,100.0,159.0,Insider,Zero-day,AI-based Detection,300.0
USA,2018.1519516964693,Man-in-the-Middle,Healthcare,265.0,332.0,Nation-state,Zero-day,Firewall,317.0
Brazil,2022.0180421458351,Malware,IT,302.0,343.0,Unknown,Zero-day,AI-based Detection,278.0
China,2020.9757219945727,SQL Injection,IT,280.0,340.0,Insider,Weak Passwords,Antivirus,272.0
UK,2014.978426608724,Malware,IT,204.0,247.0,Unknown,Zero-day,AI-based Detection,383.0
USA,2019.983332768982,Malware,Telecommunications,327.0,339.0,Nation-state,Unpatched Software,AI-based Detection,402.0
Germany,2021.0041772791467,Ransomware,Healthcare,394.0,426.0,Unknown,Weak Passwords,Antivirus,350.0
UK,2017.8683968354403,Malware,Banking,191.0,252.0,Unknown,Unpatched Software,Encryption,296.0
USA,2019.9754056237016,Man-in-the-Middle,Education,275.0,340.0,Nation-state,Zero-day,Encryption,280.0
UK,2021.7845926457944,DDoS,Telecommunications,342.0,393.0,Insider,Weak Passwords,AI-based Detection,297.0
India,2017.895163687498,Ransomware,Retail,165.0,252.0,Hacker Group,Zero-day,VPN,258.0
Russia,2015.3044248822728,DDoS,Retail,27.0,148.0,Nation-state,Zero-day,Encryption,185.0
Germany,2023.2463900626287,Unknown,Banking,474.0,452.0,Unknown,Unpatched Software,Encryption,428.0
Russia,2018.813080516799,Malware,Retail,193.0,237.0,Nation-state,Weak Passwords,Firewall,299.0
Russia,2014.738117489229,DDoS,Telecommunications,191.0,224.0,Insider,Unpatched Software,AI-based Detection,404.0
Australia,2018.0785514406944,SQL Injection,Retail,204.0,300.0,Nation-state,Weak Passwords,Encryption,222.0
Brazil,2023.932141001936,Unknown,Healthcare,477.0,437.0,Unknown,Weak Passwords,VPN,434.0
China,2015.9110246212208,SQL Injection,Healthcare,174.0,229.0,Nation-state,Social Engineering,Antivirus,326.0
Japan,2014.858474037007,Phishing,Government,287.0,,Insider,Zero-day,Encryption,342.0
France,2023.8652544831048,Phishing,Retail,274.0,297.0,Unknown,Zero-day,Antivirus,272.0
Germany,2016.9743280423552,Malware,Healthcare,245.0,279.0,Nation-state,Weak Passwords,Encryption,362.0
Russia,2015.6902664104928,Phishing,Government,235.0,297.0,Insider,Zero-day,Antivirus,358.0
Japan,2023.9807439595088,SQL Injection,Banking,406.0,415.0,Unknown,Social Engineering,Antivirus,342.0
Russia,2021.900545295296,Unknown,Government,361.0,406.0,Insider,Weak Passwords,Antivirus,323.0
Brazil,2018.029997578364,SQL Injection,Retail,328.0,297.0,Insider,Unpatched Software,Firewall,495.0
USA,2021.055472730782,DDoS,Telecommunications,352.0,337.0,Unknown,Weak Passwords,AI-based Detection,412.0
Unknown,2022.236852894416,Malware,Retail,479.0,439.0,Unknown,Zero-day,Firewall,470.0
Brazil,2016.9007485148013,DDoS,IT,263.0,333.0,Unknown,Zero-day,Firewall,311.0
UK,2019.077737609985,SQL Injection,Healthcare,214.0,287.0,Insider,Social Engineering,Firewall,255.0
Japan,2020.0116935698256,Unknown,IT,391.0,399.0,Nation-state,Social Engineering,Firewall,425.0
USA,2020.9165637671745,Phishing,Unknown,210.0,279.0,Insider,Unpatched Software,Firewall,240.0
Brazil,2020.896858920578,SQL Injection,Retail,289.0,349.0,Nation-state,Weak Passwords,Firewall,276.0
Australia,2016.9870837392907,Man-in-the-Middle,Retail,161.0,184.0,Insider,Unpatched Software,AI-based Detection,346.0
Germany,2021.24091823498,Ransomware,Retail,340.0,354.0,Nation-state,Weak Passwords,VPN,365.0
Russia,,Malware,Government,287.0,318.0,Hacker Group,Social Engineering,Encryption,347.0
China,2024.2502420673643,Man-in-the-Middle,Telecommunications,359.0,370.0,Hacker Group,Weak Passwords,AI-based Detection,308.0
Brazil,2020.124805191735,SQL Injection,Education,231.0,304.0,Insider,Unpatched Software,Encryption,235.0
USA,2020.0524902065167,DDoS,Banking,380.0,427.0,Nation-state,Zero-day,Antivirus,347.0
Brazil,2017.8278021578665,Malware,Telecommunications,291.0,350.0,Nation-state,Weak Passwords,Firewall,334.0
Brazil,2022.892939217378,SQL Injection,Healthcare,357.0,408.0,Insider,Zero-day,Firewall,288.0
UK,2016.122497079644,Phishing,Education,245.0,275.0,Hacker Group,Zero-day,Firewall,403.0
Japan,2019.1081703414595,Phishing,Government,322.0,294.0,Nation-state,Zero-day,Encryption,446.0
UK,2019.8438397436496,DDoS,Retail,341.0,374.0,Nation-state,Weak Passwords,Firewall,374.0
India,2014.8551908671488,Man-in-the-Middle,IT,287.0,211.0,Nation-state,Weak Passwords,AI-based Detection,342.0
Brazil,2019.1889460038951,Ransomware,Telecommunications,365.0,354.0,Nation-state,Unpatched Software,Encryption,444.0
Russia,2023.0365982922904,DDoS,Telecommunications,371.0,390.0,Unknown,Unpatched Software,Encryption,340.0
Japan,2020.1026943428208,Phishing,IT,386.0,363.0,Unknown,Social Engineering,AI-based Detection,444.0
India,2023.242640560563,Phishing,Retail,468.0,434.0,Hacker Group,Weak Passwords,Antivirus,454.0
USA,2016.86188157895,Malware,Government,354.0,335.0,Insider,Social Engineering,Encryption,494.0
France,2015.940768732281,Unknown,Education,185.0,218.0,Hacker Group,Zero-day,Firewall,378.0
Brazil,2017.013009253868,Ransomware,Healthcare,240.0,267.0,Nation-state,Zero-day,Encryption,384.0
USA,2015.0302990074133,Man-in-the-Middle,IT,287.0,191.0,Unknown,Unpatched Software,AI-based Detection,
Germany,2018.0726527436047,Ransomware,Healthcare,208.0,229.0,Unknown,Unpatched Software,VPN,361.0
Australia,2018.9799416806168,Malware,Telecommunications,155.0,236.0,Unknown,Zero-day,Antivirus,219.0
Australia,2015.9413458837948,Phishing,Telecommunications,126.0,232.0,Hacker Group,Zero-day,Encryption,249.0
Russia,2023.9692060588231,Ransomware,Telecommunications,402.0,355.0,Nation-state,Unknown,AI-based Detection,406.0
Unknown,2024.0410238060604,Man-in-the-Middle,Telecommunications,320.0,379.0,Nation-state,Weak Passwords,Antivirus,228.0
Japan,2023.0411369682245,Phishing,Banking,351.0,393.0,Insider,Zero-day,Unknown,286.0
Russia,2017.9483997298623,SQL Injection,Telecommunications,139.0,226.0,Nation-state,Weak Passwords,VPN,236.0
India,,Ransomware,Banking,287.0,,Nation-state,Zero-day,VPN,483.0
China,2018.8931317276392,Malware,Retail,323.0,390.0,Hacker Group,Weak Passwords,VPN,322.0
India,2023.848229191138,DDoS,Healthcare,405.0,435.0,Unknown,Social Engineering,Encryption,309.0
France,2022.0568240322343,Ransomware,Healthcare,445.0,422.0,Unknown,Weak Passwords,VPN,441.0
Germany,2017.862202615578,Man-in-the-Middle,IT,213.0,233.0,Unknown,Unpatched Software,Encryption,362.0
Unknown,2022.8619645987785,Man-in-the-Middle,Education,,292.0,Unknown,Social Engineering,Antivirus,342.0
India,2019.8201090101209,Man-in-the-Middle,Government,305.0,333.0,Unknown,Zero-day,Encryption,352.0
China,2023.058431938581,SQL Injection,Telecommunications,333.0,338.0,Hacker Group,Social Engineering,VPN,328.0
China,2016.9864635961533,Man-in-the-Middle,Banking,287.0,264.0,Insider,Unpatched Software,AI-based Detection,342.0
Brazil,2018.000922769172,Malware,Banking,142.0,218.0,Nation-state,Unpatched Software,Antivirus,243.0
Brazil,2023.7667733513283,Ransomware,Education,373.0,362.0,Nation-state,Unpatched Software,Encryption,363.0
Russia,2017.163959570437,Phishing,Telecommunications,278.0,324.0,Hacker Group,Zero-day,Firewall,379.0
USA,2019.9241432247231,DDoS,Healthcare,368.0,382.0,Insider,Weak Passwords,Firewall,400.0
India,2016.857937448136,Malware,Government,253.0,262.0,Nation-state,Unpatched Software,Antivirus,417.0
Japan,2018.8730456453304,Man-in-the-Middle,Government,265.0,276.0,Hacker Group,Social Engineering,Antivirus,383.0
France,2023.116684735401,Phishing,IT,190.0,252.0,Hacker Group,Unpatched Software,VPN,179.0
Australia,2024.2806186677017,Man-in-the-Middle,Healthcare,287.0,,Insider,Unpatched Software,Antivirus,342.0
India,2022.131281307459,Malware,Retail,496.0,468.0,Insider,Zero-day,AI-based Detection,468.0
UK,2017.196850004171,Malware,Banking,197.0,241.0,Insider,Zero-day,Antivirus,304.0
Russia,2016.938750860736,Man-in-the-Middle,Banking,155.0,205.0,Insider,Social Engineering,Firewall,312.0
Australia,2014.7846058314403,Phishing,,,228.0,Hacker Group,Unpatched Software,Firewall,342.0
France,2019.137940431916,Phishing,IT,283.0,360.0,Nation-state,Social Engineering,AI-based Detection,290.0
USA,2022.9998946445403,DDoS,Education,286.0,326.0,Insider,Weak Passwords,VPN,254.0
Brazil,2024.0370067626425,DDoS,Retail,534.0,525.0,Insider,Weak Passwords,VPN,420.0
India,2019.1350437354408,Phishing,Education,201.0,281.0,Hacker Group,Social Engineering,Encryption,249.0
France,2016.0631241538408,Phishing,Education,287.0,164.0,Unknown,Weak Passwords,VPN,
Brazil,,Malware,Banking,,318.0,Insider,Social Engineering,AI-based Detection,303.0
Brazil,2022.039451330852,Man-in-the-Middle,Education,379.0,344.0,Insider,Unknown,VPN,439.0
Russia,2019.1953440494349,Ransomware,Retail,269.0,320.0,Hacker Group,Social Engineering,Encryption,317.0
Brazil,2024.2784793330225,Phishing,IT,287.0,318.0,Insider,Social Engineering,Firewall,342.0
China,2023.040678533005,SQL Injection,IT,398.0,450.0,Unknown,Zero-day,Firewall,306.0
Russia,2022.138855801865,Ransomware,Healthcare,346.0,395.0,Insider,Zero-day,Antivirus,278.0
Russia,2021.184342645648,Man-in-the-Middle,Banking,395.0,360.0,Unknown,Zero-day,Antivirus,456.0
Japan,2020.7810053570493,Ransomware,Government,393.0,405.0,Nation-state,Weak Passwords,Firewall,398.0
China,2021.727368027916,Phishing,IT,356.0,366.0,Unknown,Weak Passwords,Firewall,348.0
Germany,2016.2479834876665,Malware,Banking,196.0,271.0,Nation-state,Social Engineering,Antivirus,306.0
Japan,2015.0244592138097,Malware,Telecommunications,99.0,176.0,Insider,Unpatched Software,AI-based Detection,294.0
India,2020.1918917353364,Man-in-the-Middle,Education,402.0,354.0,Insider,Unknown,Encryption,485.0
Australia,2020.868062673971,SQL Injection,Telecommunications,246.0,293.0,Insider,Social Engineering,Antivirus,270.0
Brazil,2017.2770251193672,Ransomware,Government,322.0,341.0,Hacker Group,Zero-day,Antivirus,423.0
Germany,2022.7639085052165,Man-in-the-Middle,Banking,263.0,320.0,Nation-state,Social Engineering,Antivirus,230.0
UK,2014.778343448992,Phishing,Banking,200.0,242.0,Insider,Zero-day,AI-based Detection,386.0
Germany,2015.877729847156,Phishing,Government,179.0,232.0,Insider,Unpatched Software,AI-based Detection,356.0
Australia,2016.848446055281,Ransomware,Government,341.0,348.0,Unknown,Weak Passwords,AI-based Detection,467.0
Australia,2021.1169502611035,Malware,Healthcare,245.0,279.0,Nation-state,Weak Passwords,Antivirus,284.0
UK,2018.7380698211928,SQL Injection,Unknown,241.0,295.0,Unknown,Unpatched Software,Encryption,302.0
USA,2018.859192754074,Ransomware,Telecommunications,78.0,200.0,Insider,Unpatched Software,VPN,148.0
Brazil,2016.8024098463304,Phishing,IT,287.0,309.0,Unknown,Social Engineering,Antivirus,
France,2015.1217533905165,Man-in-the-Middle,Banking,106.0,206.0,Nation-state,Unpatched Software,VPN,265.0
China,2017.698433255849,DDoS,Healthcare,277.0,263.0,Nation-state,Weak Passwords,Antivirus,454.0
Brazil,2015.8085135645888,Unknown,Unknown,137.0,270.0,Unknown,Weak Passwords,Firewall,199.0
France,2021.945681149944,Ransomware,Healthcare,323.0,339.0,Insider,Social Engineering,VPN,330.0
USA,2018.934286525223,SQL Injection,Telecommunications,166.0,218.0,Insider,Social Engineering,AI-based Detection,262.0
Brazil,2022.2715810469408,,Retail,352.0,358.0,Unknown,Unpatched Software,Unknown,341.0
Russia,2020.9318739452856,SQL Injection,Government,,396.0,Hacker Group,Zero-day,VPN,342.0
Australia,2015.9783798945632,Ransomware,Healthcare,222.0,262.0,Unknown,Unknown,AI-based Detection,367.0
UK,2015.8285576863173,Ransomware,IT,257.0,296.0,Hacker Group,Zero-day,Firewall,391.0
Germany,2022.1607869681,SQL Injection,Banking,287.0,,Unknown,Unpatched Software,Antivirus,342.0
Unknown,2023.051598095518,SQL Injection,Telecommunications,333.0,374.0,Insider,Weak Passwords,VPN,278.0
France,2017.982065301702,Ransomware,Government,287.0,318.0,Hacker Group,Unknown,Antivirus,
Japan,2016.9781464596413,DDoS,IT,250.0,290.0,Insider,Weak Passwords,Encryption,349.0
Japan,2016.0447805608696,Man-in-the-Middle,Retail,155.0,207.0,Nation-state,Social Engineering,AI-based Detection,328.0
Germany,2021.980560465165,DDoS,Telecommunications,489.0,430.0,Hacker Group,Weak Passwords,Antivirus,514.0
Germany,2020.9840646262355,Man-in-the-Middle,IT,229.0,301.0,Hacker Group,Unknown,Unknown,221.0
France,2021.91829911715,Phishing,Unknown,431.0,401.0,Unknown,Weak Passwords,Antivirus,445.0
UK,2018.0621381597311,Phishing,Healthcare,234.0,279.0,Unknown,Unpatched Software,Encryption,345.0
India,2023.9945995227604,Phishing,Retail,251.0,310.0,Insider,Unpatched Software,Antivirus,206.0
Germany,2019.944535499296,Malware,Unknown,359.0,348.0,Hacker Group,Weak Passwords,Encryption,427.0
Germany,2018.559723035156,SQL Injection,Healthcare,214.0,215.0,Hacker Group,Zero-day,VPN,375.0
Brazil,2016.0842951009504,DDoS,IT,303.0,299.0,Hacker Group,Social Engineering,AI-based Detection,469.0
Germany,2021.87456380252,Ransomware,Education,280.0,316.0,Nation-state,Zero-day,Antivirus,273.0
France,2019.1337439810004,Phishing,Healthcare,288.0,325.0,Insider,Zero-day,Firewall,315.0
Russia,2017.0302214615708,DDoS,Education,233.0,284.0,Nation-state,Weak Passwords,Firewall,353.0
Brazil,2017.0751125163792,Ransomware,Healthcare,232.0,332.0,Unknown,Zero-day,AI-based Detection,266.0
UK,2016.672716426777,Phishing,Banking,173.0,199.0,Unknown,Social Engineering,Firewall,344.0
Australia,2022.1384483513607,Malware,Retail,493.0,479.0,Nation-state,Unpatched Software,AI-based Detection,435.0
Germany,2022.9525821596887,Man-in-the-Middle,Retail,287.0,318.0,Insider,Unpatched Software,AI-based Detection,342.0
France,2017.1427768770552,SQL Injection,Education,168.0,230.0,Unknown,Zero-day,VPN,298.0
USA,2024.0632363702496,Malware,Telecommunications,496.0,454.0,Hacker Group,Social Engineering,AI-based Detection,438.0
Japan,2021.155635492288,SQL Injection,Retail,258.0,264.0,Unknown,Social Engineering,Unknown,333.0
UK,2015.91712295896,Phishing,Retail,302.0,295.0,Hacker Group,Weak Passwords,VPN,476.0
USA,,DDoS,Telecommunications,287.0,318.0,Hacker Group,Zero-day,Antivirus,387.0
USA,2024.181304063728,Phishing,Education,407.0,434.0,Unknown,Weak Passwords,Encryption,311.0
China,2016.0612651866,Man-in-the-Middle,Unknown,234.0,267.0,Nation-state,Weak Passwords,VPN,391.0
China,2021.9405467838449,Ransomware,Retail,305.0,323.0,Unknown,Zero-day,VPN,324.0
India,2022.8501864438497,Man-in-the-Middle,Retail,310.0,373.0,Insider,Unpatched Software,VPN,247.0
Japan,2018.783033871135,Man-in-the-Middle,IT,211.0,245.0,Insider,Zero-day,AI-based Detection,322.0
India,2017.9455847596776,DDoS,Government,,215.0,Insider,Social Engineering,Antivirus,342.0
India,2016.912940592561,Phishing,IT,287.0,283.0,Nation-state,Zero-day,Antivirus,342.0
Japan,2019.9042175257305,Man-in-the-Middle,Retail,245.0,277.0,Insider,Social Engineering,Unknown,314.0
China,2016.001618166736,Malware,Telecommunications,208.0,275.0,Unknown,Social Engineering,AI-based Detection,314.0
France,2019.972871638056,Malware,Healthcare,216.0,267.0,Hacker Group,Social Engineering,Firewall,290.0
Japan,2019.930597977836,,IT,254.0,334.0,Unknown,Social Engineering,VPN,249.0
Russia,2016.07414886694,Malware,Banking,258.0,233.0,Hacker Group,Weak Passwords,Antivirus,485.0
Australia,2022.068034241133,SQL Injection,Retail,325.0,353.0,Unknown,Weak Passwords,Encryption,317.0
Russia,2016.990824793496,Phishing,Education,264.0,283.0,Insider,Unpatched Software,VPN,409.0
USA,2017.044573440268,Malware,Education,204.0,199.0,Hacker Group,Unpatched Software,Firewall,427.0
USA,2014.652178697633,Malware,Retail,180.0,186.0,Hacker Group,Social Engineering,Firewall,415.0
Russia,2015.7517862658824,SQL Injection,Government,95.0,161.0,Hacker Group,Social Engineering,Antivirus,305.0
France,2016.8212158206952,DDoS,Retail,365.0,379.0,Hacker Group,Zero-day,Encryption,464.0
UK,2019.0164037236225,Malware,IT,309.0,300.0,Hacker Group,Social Engineering,Firewall,433.0
USA,2019.0454311998185,Malware,Retail,441.0,399.0,Hacker Group,Social Engineering,Firewall,519.0
Russia,2022.773093421148,Malware,Telecommunications,287.0,390.0,Nation-state,Unpatched Software,AI-based Detection,342.0
Japan,2019.8447405752568,Ransomware,Unknown,287.0,,Hacker Group,Weak Passwords,VPN,413.0
USA,2021.9442247103468,Ransomware,IT,282.0,337.0,Insider,Zero-day,Firewall,262.0
Brazil,2020.6715955548752,Malware,Education,319.0,374.0,Hacker Group,Social Engineering,Encryption,296.0
Brazil,2018.091493390885,Malware,Retail,238.0,341.0,Unknown,Unpatched Software,AI-based Detection,241.0
Brazil,2019.9611907089984,Phishing,Government,,318.0,Insider,Social Engineering,VPN,
China,2016.9133052014167,SQL Injection,Banking,131.0,183.0,Unknown,Zero-day,Encryption,302.0
Japan,2021.7687202283275,Malware,IT,307.0,313.0,Nation-state,Unpatched Software,Unknown,347.0
UK,2023.9670534974607,Ransomware,Unknown,437.0,380.0,Hacker Group,Unpatched Software,Antivirus,455.0
Germany,2014.797413328665,Phishing,Retail,261.0,285.0,Nation-state,Zero-day,Antivirus,453.0
Germany,2019.8447405752568,Ransomware,Education,287.0,318.0,Hacker Group,Weak Passwords,AI-based Detection,389.0
Russia,2020.979302540945,Man-in-the-Middle,Healthcare,273.0,344.0,Nation-state,Weak Passwords,Firewall,242.0
India,2019.8447405752568,Phishing,Education,287.0,,Insider,Social Engineering,VPN,336.0
Brazil,2023.5846792539908,Phishing,IT,352.0,375.0,Unknown,Unpatched Software,AI-based Detection,292.0
UK,2017.8633885720976,Ransomware,IT,287.0,318.0,Hacker Group,Zero-day,Encryption,342.0
UK,2023.9461806756065,DDoS,Government,317.0,347.0,Hacker Group,Unpatched Software,Firewall,258.0
Russia,2020.228191162649,Ransomware,Healthcare,309.0,359.0,Unknown,Weak Passwords,VPN,316.0
Russia,2022.1425654693264,SQL Injection,Telecommunications,401.0,406.0,Unknown,Social Engineering,Encryption,379.0
Brazil,2021.811908239698,SQL Injection,Banking,267.0,262.0,Nation-state,Unpatched Software,Encryption,344.0
